iter	Passed	Remaining
142	13325	173044
143	13413	172883
144	13502	172739
145	13596	172657
146	13671	172330
147	13784	172486
148	13879	172420
149	13959	172164
150	14031	171812
151	14121	171690
152	14223	171700
153	14319	171645
154	14422	171668
155	14505	171465
156	14613	171544
157	14712	171527
158	14786	171207
159	14886	171199
160	14975	171060
161	15067	170948
162	15174	171018
163	15264	170884
164	15354	170760
165	15444	170635
166	15551	170694
167	15643	170593
168	15737	170499
169	15818	170283
170	15891	169975
171	15981	169845
172	16055	169557
173	16136	169335
174	16221	169165
175	16298	168913
176	16376	168667
177	16456	168443
178	16548	168349
179	16628	168135
180	16736	168197
181	16838	168198
182	16921	168017
183	16993	167715
184	17064	167421
185	17142	167186
186	17211	166866
187	17281	166565
188	17354	166292
189	17423	165979
190	17495	165707
191	17564	165397
192	17633	165092
193	17702	164798
194	17786	164641
195	17881	164579
196	17986	164613
197	18069	164452
198	18142	164197
199	18231	164087
200	18327	164032
201	18424	163999
202	18535	164079
203	18637	164086
204	18725	163959
205	18837	164051
206	18932	163991
207	19021	163879
208	19120	163851
209	19207	163722
210	19325	163855
211	19422	163807
212	19515	163728
213	19607	163640
214	19701	163572
215	19796	163503
216	19889	163427
217	19997	163466
218	20077	163277
219	20199	163432
220	20277	163229
221	20365	163106
222	20433	162828
223	20515	162656
224	20585	162398
225	20660	162175
226	20773	162252
227	20876	162246
228	20981	162266
229	21076	162196
230	21163	162071
231	21256	161985
232	21343	161863
233	21413	161611
234	21513	161579
235	21608	161513
236	21714	161527
237	21808	161454
238	21924	161542
239	22011	161414
240	22103	161330
241	22205	161313
242	22302	161258
243	22414	161313
244	22499	161173
245	22583	161020
246	22696	161083
247	22804	161105
248	22902	161050
249	22998	160990
250	23144	161273
251	23238	161194
252	23326	161073
253	23404	160881
254	23484	160704
255	23587	160688
256	23669	160529
257	23767	160474
258	23868	160441
259	23954	160313
260	24047	160223
261	24137	160119
262	24228	160015
263	24328	159978
264	24413	159838
265	24498	159697
266	24586	159580
267	24688	159553
268	24772	159406
269	24873	159375
270	24963	159271
271	25072	159284
272	25168	159216
273	25272	159199
274	25381	159213
275	25498	159274
276	25589	159169
277	25704	159217
278	25821	159277
279	25915	159197
280	26012	159128
281	26134	159218
282	26248	159253
283	26332	159105
284	26404	158891
285	26474	158660
286	26543	158427
287	26626	158281
288	26708	158127
289	26784	157937
290	26870	157806
291	26972	157771
292	27068	157698
293	27141	157495
294	27212	157281
295	27282	157056
296	27359	156879
297	27430	156669
298	27500	156448
299	27574	156253
300	27643	156034
301	27723	155873
302	27822	155823
303	27927	155807
304	28015	155693
305	28138	155772
306	28227	155662
307	28319	155571
308	28431	155590
309	28525	155511
310	28613	155395
311	28697	155262
312	28799	155221
313	28889	155117
314	28986	155053
315	29077	154958
316	29173	154886
317	29274	154843
318	29350	154667
319	29439	154555
320	29527	154444
321	29622	154367
322	29718	154296
323	29837	154342
324	29943	154324
325	30029	154199
326	30110	154052
327	30192	153906
328	30283	153809
329	30402	153854
330	30475	153667
331	30556	153517
332	30643	153402
333	30728	153275
334	30839	153277
335	30932	153191
336	31022	153085
337	31111	152982
338	31206	152900
339	31306	152848
340	31419	152861
341	31543	152921
342	31617	152742
343	31697	152588
344	31813	152611
345	31924	152609
346	32017	152520
347	32128	152518
348	32229	152464
349	32323	152383
350	32425	152334
351	32536	152330
352	32658	152376
353	32757	152313
354	32854	152239
355	32965	152231
356	33063	152166
357	33164	152112
358	33252	151996
359	33345	151906
360	33435	151804
361	33543	151777
362	33651	151755
363	33745	151669
364	33861	151680
365	33936	151508
366	34017	151365
367	34122	151327
368	34213	151226
369	34317	151182
370	34410	151089
371	34509	151024
372	34598	150917
373	34691	150824
374	34784	150732
375	34893	150710
376	34985	150612
377	35061	150448
378	35160	150381
379	35258	150311
380	35351	150220
381	35443	150124
382	35537	150035
383	35632	149951
384	35756	149990
385	35866	149971
386	35961	149884
387	36074	149876
388	36166	149777
389	36262	149698
390	36369	149664
391	36468	149596
392	36574	149553
393	36667	149462
394	36768	149399
395	36851	149265
396	36936	149140
397	37022	149021
398	37111	148911
399	37190	148761
400	37274	148632
401	37360	148513
402	37438	148360
403	37505	148165
404	37579	147997
405	37652	147827
406	37727	147667
407	37798	147489
408	37895	147410
409	37991	147331
410	38088	147257
411	38186	147184
412	38310	147213
413	38399	147105
414	38509	147078
415	38590	146941
416	38696	146896
417	38797	146837
418	38890	146742
419	38986	146663
420	39093	146622
421	39183	146519
422	39275	146423
423	39369	146334
424	39498	146375
425	39576	146230
426	39654	146081
427	39743	145972
428	39834	145873
429	39916	145742
430	39990	145579
431	40063	145417
432	40155	145319
433	40253	145245
434	40398	145342
435	40500	145283
436	40602	145221
437	40683	145087
438	40761	144938
439	40851	144836
440	40948	144758
441	41046	144683
442	41162	144673
443	41268	144624
444	41368	144556
445	41466	144482
446	41550	144357
447	41631	144224
448	41719	144112
449	41798	143972
450	41886	143863
451	41967	143728
452	42068	143664
453	42152	143541
454	42249	143461
455	42334	143343
456	42437	143283
457	42525	143174
458	42603	143034
459	42706	142972
460	42787	142842
461	42888	142775
462	42962	142620
463	43042	142484
464	43117	142333
465	43201	142213
466	43300	142140
467	43391	142043
468	43476	141924
469	43580	141866
470	43657	141725
471	43763	141675
472	43857	141587
473	43981	141593
474	44062	141465
475	44138	141318
476	44232	141228
477	44333	141162
478	44421	141055
479	44528	141007
480	44637	140965
481	44730	140874
482	44824	140785
483	44926	140721
484	45018	140625
485	45131	140596
486	45207	140449
487	45297	140348
488	45398	140279
489	45509	140245
490	45595	140128
491	45687	140035
492	45774	139922
493	45858	139802
494	45943	139686
495	46049	139634
496	46179	139652
497	46262	139531
498	46339	139390
499	46440	139320
500	46567	139332
501	46648	139201
502	46721	139049
503	46791	138888
504	46859	138721
505	46933	138575
506	47016	138451
507	47089	138301
508	47168	138168
509	47243	138024
510	47326	137904
511	47401	137760
512	47481	137631
513	47562	137506
514	47645	137386
515	47742	137306
516	47814	137155
517	47897	137034
518	47976	136903
519	48063	136794
520	48149	136684
521	48231	136564
522	48316	136449
523	48412	136367
524	48500	136263
525	48574	136120
526	48651	135985
527	48725	135841
528	48800	135701
529	48887	135594
530	48986	135520
531	49079	135431
532	49169	135331
533	49253	135216
534	49358	135158
535	49445	135052
536	49536	134957
537	49618	134838
538	49703	134726
539	49781	134593
540	49876	134508
541	49952	134375
542	50027	134236
543	50106	134107
544	50179	133965
545	50270	133870
546	50365	133784
547	50448	133669
548	50535	133565
549	50618	133447
550	50695	133316
551	50772	133184
552	50859	133080
553	50937	132952
554	51038	132884
555	51145	132831
556	51278	132844
557	51372	132758
558	51460	132656
559	51539	132529
560	51627	132428
561	51721	132341
562	51815	132254
563	51902	132149
564	51981	132024
565	52107	132018
566	52251	132056
567	52398	132102
568	52499	132032
569	52600	131963
570	52710	131913
571	52812	131845
572	52929	131816
573	53010	131696
574	53103	131603
575	53195	131511
576	53288	131420
577	53384	131336
578	53468	131225
579	53566	131146
580	53656	131047
581	53743	130942
582	53822	130817
583	53917	130732
584	54024	130675
585	54119	130589
586	54204	130478
587	54322	130447
588	54433	130399
589	54530	130317
590	54632	130250
591	54730	130170
592	54838	130115
593	54954	130076
594	55054	130001
595	55149	129917
596	55234	129806
597	55321	129700
598	55407	129591
599	55504	129510
600	55616	129462
601	55708	129369
602	55802	129280
603	55918	129243
604	56050	129240
605	56157	129180
606	56257	129105
607	56342	128994
608	56412	128850
609	56491	128726
610	56568	128598
611	56641	128460
612	56710	128315
613	56780	128171
614	56859	128049
615	56932	127912
616	57004	127774
617	57075	127634
618	57171	127551
619	57281	127497
620	57358	127372
621	57437	127248
622	57523	127142
623	57631	127084
624	57723	126992
625	57832	126935
626	57927	126848
627	58032	126783
628	58126	126695
629	58233	126635
630	58325	126540
631	58454	126529
632	58543	126427
633	58637	126338
634	58729	126245
635	58823	126156
636	58918	126069
637	59029	126016
638	59124	125927
639	59219	125842
640	59307	125740
641	59403	125654
642	59511	125594
643	59622	125541
644	59695	125407
645	59798	125336
646	59902	125266
647	59993	125171
648	60097	125102
649	60191	125013
650	60286	124925
651	60388	124853
652	60494	124787
653	60603	124728
654	60734	124713
655	60855	124680
656	60944	124578
657	61032	124476
658	61126	124386
659	61201	124257
660	61300	124177
661	61414	124127
662	61522	124065
663	61620	123983
664	61712	123888
665	61817	123820
666	61941	123790
667	62030	123689
668	62117	123585
669	62199	123470
670	62289	123372
671	62373	123261
672	62476	123189
673	62555	123068
674	62649	122978
675	62739	122879
676	62841	122804
677	62937	122719
678	63049	122662
679	63119	122526
680	63215	122439
681	63305	122341
682	63396	122245
683	63508	122188
684	63601	122096
685	63695	122005
686	63791	121919
687	63878	121815
688	63973	121726
689	64056	121615
690	64157	121537
691	64226	121398
692	64309	121287
693	64404	121200
694	64565	121234
695	64669	121162
696	64743	121033
697	64820	120911
698	64925	120842
699	65033	120776
700	65129	120688
701	65361	120853
702	65475	120799
703	65696	120941
704	65873	121000
705	65969	120912
706	66266	121190
707	66437	121239
708	66605	121280
709	66708	121203
710	66876	121242
711	67022	121243
712	67144	121199
713	67256	121137
714	67390	121113
715	67591	121212
716	67715	121170
717	67824	121101
718	67929	121025
719	68034	120950
720	68124	120848
721	68217	120750
722	68294	120625
723	68373	120503
724	68463	120401
725	68565	120320
726	68637	120187
727	68726	120082
728	68822	119991
729	68932	119923
730	69011	119801
731	69089	119679
732	69173	119566
733	69252	119446
734	69354	119365
735	69445	119264
736	69547	119184
737	69654	119110
738	69764	119042
739	69843	118923
740	69930	118815
741	70035	118739
742	70122	118633
743	70232	118565
744	70314	118449
745	70416	118367
746	70518	118286
747	70620	118204
