iter	RMSE
294	0.09629934229
295	0.09621367158
296	0.09614105409
297	0.09601381104
298	0.09598464047
299	0.09585783187
300	0.09573447136
301	0.09560883848
302	0.09556727127
303	0.095511671
304	0.09538787534
305	0.09536047792
306	0.0952682213
307	0.09524944279
308	0.09500381165
309	0.09488031701
310	0.09486104829
311	0.09481834768
312	0.09477845638
313	0.09464873058
314	0.09458506316
315	0.09452159377
316	0.09437030776
317	0.09435167745
318	0.09427411612
319	0.09418222212
320	0.09406498663
321	0.09386914252
322	0.09375993551
323	0.09367232075
324	0.09358534457
325	0.09344115382
326	0.09341307167
327	0.09339669879
328	0.09337537836
329	0.09325434317
330	0.09317700055
331	0.09307034905
332	0.09298985439
333	0.09296597689
334	0.09295644196
335	0.09293386371
336	0.0928227975
337	0.09269730381
338	0.0926821139
339	0.09262666479
340	0.09260208098
341	0.09252383422
342	0.09247730858
343	0.09244569591
344	0.09232364482
345	0.0922314733
346	0.0921070629
347	0.09208201049
348	0.09205069668
349	0.09193556052
350	0.09185573972
351	0.09173786814
352	0.09168199146
353	0.09167882441
354	0.09163937408
355	0.09153928819
356	0.09152018805
357	0.0914680109
358	0.09141346579
359	0.09139609917
360	0.0913074186
361	0.09129607169
362	0.09128093512
363	0.09120540658
364	0.09114254232
365	0.09109853941
366	0.09104177072
367	0.09101881212
368	0.09101315467
369	0.09089561636
370	0.09085892174
371	0.09084034203
372	0.09076959752
373	0.09075019634
374	0.09073741417
375	0.09072270608
376	0.09061464175
377	0.09053145698
378	0.09043390302
379	0.09030323587
380	0.09028989948
381	0.09027828488
382	0.09023534962
383	0.09017890531
384	0.09010579949
385	0.09007869514
386	0.08999308051
387	0.0899570498
388	0.08987691917
389	0.08985801746
390	0.08975537623
391	0.08964186125
392	0.08959772837
393	0.08950944227
394	0.0894973269
395	0.08946725058
396	0.08942405834
397	0.08928660803
398	0.08924372496
399	0.08915807092
400	0.08909366521
401	0.08903471202
402	0.08902855098
403	0.08894488681
404	0.08886658291
405	0.08886257881
406	0.08872880031
407	0.08864257592
408	0.088581689
409	0.08856230993
410	0.08845667782
411	0.088346747
412	0.08833267594
413	0.08832756228
414	0.08824760763
415	0.0881532568
416	0.08814816694
417	0.08804693924
418	0.08802288406
419	0.08791759157
420	0.087810048
421	0.08773059531
422	0.08763231868
423	0.08752696471
424	0.08745956293
425	0.08745232158
426	0.08744455625
427	0.08741799038
428	0.08741673742
429	0.08741036913
430	0.0874061185
431	0.08734577128
432	0.08731394888
433	0.08729941404
434	0.08721136811
435	0.08720416584
436	0.08714130498
437	0.08709554915
438	0.0870610842
439	0.08704474958
440	0.08698476622
441	0.08690821076
442	0.08681636275
443	0.08671171274
444	0.08664774026
445	0.08658123641
446	0.08648419122
447	0.0864820623
448	0.0864661854
449	0.0863574803
450	0.08631386543
451	0.0863002934
452	0.0862960601
453	0.08628364625
454	0.08621283535
455	0.08620408465
456	0.08611890944
457	0.08610855335
458	0.08608602097
459	0.08607373546
460	0.08603380299
461	0.08599820607
462	0.08594517455
463	0.08591288632
464	0.08584686694
465	0.08584471926
466	0.08575802383
467	0.08569700428
468	0.08568025851
469	0.08559202495
470	0.08553866144
471	0.08551527416
472	0.08540431401
473	0.08530306676
474	0.08528404311
475	0.08520108355
476	0.0851339377
477	0.08506921033
478	0.08498967565
479	0.0849872661
480	0.0849131368
481	0.08490141247
482	0.08489193877
483	0.08484444083
484	0.08483437534
485	0.08472753139
486	0.08466316385
487	0.08465833424
488	0.08464529017
489	0.0846392644
490	0.08450716258
491	0.08448670603
492	0.08447465806
493	0.08438794863
494	0.08434482822
495	0.08428537585
496	0.08423143328
497	0.08416897959
498	0.08416555884
499	0.08407198214
500	0.08402377247
501	0.08393260606
502	0.08390116942
503	0.08377257804
504	0.08375315896
505	0.08373857
506	0.08370797094
507	0.08370711245
508	0.08362865401
509	0.08357005997
510	0.08356392062
511	0.0835118662
512	0.08345431467
513	0.08340629741
514	0.08333242977
515	0.08330473654
516	0.08325534837
517	0.08324108402
518	0.08321012878
519	0.08316248299
520	0.08315976353
521	0.08306187936
522	0.08305242676
523	0.08304159964
524	0.08297802202
525	0.08290747579
526	0.08284810861
527	0.08284682722
528	0.08277892293
529	0.08273347715
530	0.08270510318
531	0.08264630518
532	0.0825378387
533	0.08252132584
534	0.08249828613
535	0.08246053624
536	0.08241189232
537	0.08239247941
538	0.08238811495
539	0.08230804084
540	0.08230580193
541	0.0822216634
542	0.08218916344
543	0.08208924445
544	0.08206333089
545	0.08201481893
546	0.08196882704
547	0.08186982367
548	0.0818598232
549	0.08183324394
550	0.08172766617
551	0.08169213296
552	0.08165931138
553	0.08162020162
554	0.0816110358
555	0.08160439938
556	0.08157290886
557	0.08156765266
558	0.08147879368
559	0.08138866529
560	0.0813268085
561	0.08130136183
562	0.0812273558
563	0.08115058727
564	0.08112563762
565	0.08102339505
566	0.0809500539
567	0.08094255932
568	0.0809410519
569	0.08086003786
570	0.08081037048
571	0.0807832775
572	0.08078254675
573	0.08073535451
574	0.08066322882
575	0.08060820036
576	0.08054075879
577	0.0804998621
578	0.08049107871
579	0.08047526446
580	0.08041671812
581	0.08037981132
582	0.08035532282
583	0.08028108046
584	0.08016735551
585	0.08015068939
586	0.08013225948
587	0.08009000249
588	0.08004392542
589	0.08001757617
590	0.07998423779
591	0.07997218282
592	0.07993765727
593	0.07993631179
594	0.07992216811
595	0.07990016927
596	0.07986406079
597	0.07985724109
598	0.07981320375
599	0.07980931792
600	0.0796968015
601	0.07969359156
602	0.0796009763
603	0.07958292655
604	0.0795561427
605	0.07953678412
606	0.07952127336
607	0.07945797316
608	0.07942962168
609	0.0794196715
610	0.07940423267
611	0.07940240603
612	0.07939925225
613	0.07939641663
614	0.07939306509
615	0.07936169658
616	0.07935153257
617	0.07929905281
618	0.07929804171
619	0.07923522093
620	0.07922321302
621	0.079136094
622	0.07909756082
623	0.07906562976
624	0.07903206738
625	0.07902943981
626	0.07896836986
627	0.07889023743
628	0.07888211271
629	0.07886173008
630	0.07886081314
631	0.07883708021
632	0.07881626391
633	0.07881618285
634	0.07880127631
635	0.07879873762
636	0.0787080484
637	0.07866856394
638	0.07862591231
639	0.07862348219
640	0.07862266045
641	0.07859880456
642	0.07859646035
643	0.07857215991
644	0.07848685517
645	0.07846257682
646	0.07846137558
647	0.07838123772
648	0.07836372211
649	0.07834965582
650	0.0783442907
651	0.07833251492
652	0.07825984949
653	0.07821565007
654	0.07816297029
655	0.07812084597
656	0.07806598061
657	0.07803724583
658	0.07803423967
659	0.07802106288
660	0.07796228463
661	0.07792634352
662	0.07778305455
663	0.07776189942
664	0.07775907862
665	0.07774086954
666	0.07769635667
667	0.0776936865
668	0.07760116153
669	0.07755831021
670	0.07752527921
671	0.07746462632
672	0.07745937631
673	0.07745868653
674	0.07745614204
675	0.07743861334
676	0.07742162559
677	0.07741511293
678	0.07737970583
679	0.07732218282
680	0.07729244497
681	0.07727462379
682	0.07721601264
683	0.0772023874
684	0.07719375212
685	0.07713151503
686	0.07710313067
687	0.07710296642
688	0.07706405061
689	0.07705907615
690	0.07704408254
691	0.07694797978
692	0.0769453926
693	0.07682728878
694	0.07674805454
695	0.07673980354
696	0.07672631286
697	0.07671399742
698	0.07670634794
699	0.07667350459
700	0.07666651652
701	0.07665840115
702	0.07664388888
703	0.07655051724
704	0.07652899255
705	0.07650676779
706	0.07644692462
707	0.07640618242
708	0.07639698899
709	0.07639347474
710	0.07638566353
711	0.07636536611
712	0.07630760189
713	0.07630233163
714	0.07624562821
715	0.07623414207
716	0.07615895901
717	0.07612158279
718	0.07608489896
719	0.07605064395
720	0.07600719414
721	0.07598344969
722	0.07592660949
723	0.07589915202
724	0.07589307624
725	0.07584587857
726	0.07579953561
727	0.07577217308
728	0.07575715554
729	0.07575217742
730	0.07570236747
731	0.07567594617
732	0.07564361594
733	0.0756069992
734	0.0755824919
735	0.07556612778
736	0.07546339828
737	0.07537680999
738	0.07526783487
739	0.07525903783
740	0.07525347548
741	0.07518951937
742	0.07507921448
743	0.07505231024
744	0.07503388562
745	0.07494216078
746	0.07488232825
747	0.07477872103
